epoch	acc
1	0.026851851851851852
2	0.02248677248677249
3	0.04470899470899469
4	0.0443121693121693
5	0.09828042328042327
6	0.12685185185185188
7	0.1298941798941799
8	0.17208994708994715
9	0.15529100529100529
10	0.21243386243386245
11	0.16177248677248676
12	0.21375661375661378
13	0.108994708994709
14	0.2226190476190477
15	0.2731481481481482
16	0.1888888888888889
17	0.2305555555555556
18	0.24589947089947084
19	0.30171957671957683
20	0.3034391534391534
21	0.26335978835978835
22	0.3015873015873016
23	0.2927248677248677
24	0.31706349206349216
25	0.29920634920634914
26	0.3070105820105821
27	0.3181216931216931
28	0.3212962962962963
29	0.3351851851851852
30	0.32777777777777783
31	0.32830687830687827
32	0.35806878306878315
33	0.3283068783068782
34	0.3353174603174602
35	0.34206349206349196
36	0.328042328042328
37	0.35423280423280423
38	0.34140211640211626
39	0.3656084656084656
40	0.36838624338624326
41	0.35224867724867726
42	0.35661375661375655
43	0.388888888888889
44	0.32116402116402104
45	0.3752645502645503
46	0.3693121693121692
47	0.3912698412698411
48	0.36759259259259264
49	0.3298941798941799
50	0.3818783068783068
51	0.3919312169312169
52	0.3747354497354497
53	0.3724867724867726
54	0.3695767195767196
55	0.3731481481481481
56	0.36097883597883595
57	0.3863756613756614
58	0.3850529100529101
59	0.3781746031746033
60	0.4124338624338624
61	0.4427248677248676
62	0.44166666666666665
63	0.4198412698412699
64	0.42883597883597885
65	0.43121693121693133
66	0.43928571428571433
67	0.4038359788359788
68	0.432936507936508
69	0.42142857142857154
70	0.4408730158730159
71	0.4498677248677247
72	0.4375661375661374
73	0.43359788359788365
74	0.4494708994708994
75	0.4124338624338624
76	0.4206349206349206
77	0.43253968253968245
78	0.42526455026455035
79	0.4476190476190477
80	0.4148148148148148
81	0.4264550264550264
82	0.43320105820105825
83	0.40833333333333327
84	0.43134920634920637
85	0.4231481481481481
86	0.428968253968254
87	0.4173280423280422
88	0.43068783068783056
89	0.4236772486772487
90	0.4370370370370369
91	0.4137566137566138
92	0.43769841269841275
93	0.43465608465608463
94	0.43783068783068796
95	0.428835978835979
96	0.4291005291005291
97	0.42936507936507945
98	0.43637566137566136
99	0.4338624338624338
100	0.4489417989417991
101	0.4342592592592593
102	0.43730158730158725
103	0.4267195767195767
104	0.4334656084656085
105	0.4436507936507936
106	0.447883597883598
107	0.44100529100529096
108	0.4396825396825397
109	0.4423280423280422
110	0.44947089947089935
111	0.42605820105820114
112	0.4488095238095237
113	0.42526455026455023
114	0.44378306878306883
115	0.42791005291005285
116	0.4472222222222222
117	0.4485449735449735
118	0.425925925925926
119	0.43386243386243384
120	0.4601851851851852
121	0.43452380952380953
122	0.43650793650793657
123	0.44298941798941793
124	0.44259259259259254
125	0.43293650793650784
126	0.45052910052910056
127	0.43452380952380953
128	0.4494708994708996
129	0.43637566137566136
130	0.4407407407407407
131	0.44616402116402126
132	0.4328042328042327
133	0.4326719576719577
134	0.42261904761904756
135	0.448015873015873
136	0.4362433862433861
137	0.44510582010582017
138	0.43531746031746016
139	0.42949735449735454
140	0.4457671957671957
141	0.4441798941798942
142	0.43994708994708986
143	0.4353174603174603
144	0.43121693121693133
145	0.419973544973545
146	0.4312169312169313
147	0.4027777777777777
148	0.4441798941798941
149	0.44761904761904764
