epoch	batch	loss	acc
1	1	4.08207368850708	0.041666666666666664
1	11	4.0278191566467285	0.0
1	21	3.6609222888946533	0.2916666666666667
1	31	3.966942548751831	0.041666666666666664
1	41	4.092017650604248	0.041666666666666664
1	51	4.0374321937561035	0.0
1	61	3.7106754779815674	0.20833333333333334
1	71	4.328620910644531	0.0
1	81	3.654766798019409	0.25
1	91	3.3350257873535156	0.25
1	101	4.1564154624938965	0.08333333333333333
1	111	3.6856842041015625	0.041666666666666664
1	121	4.200232028961182	0.0
1	131	3.8308229446411133	0.125
1	141	3.7390778064727783	0.125
1	151	4.087926387786865	0.041666666666666664
1	161	3.450739622116089	0.25
1	171	3.8351290225982666	0.125
1	181	3.8405473232269287	0.0
1	191	3.7109813690185547	0.08333333333333333
1	201	3.6520118713378906	0.125
1	211	4.17224645614624	0.16666666666666666
2	1	3.438950300216675	0.25
2	11	3.779527425765991	0.08333333333333333
2	21	3.911649465560913	0.08333333333333333
2	31	3.841743230819702	0.08333333333333333
2	41	3.755406618118286	0.08333333333333333
2	51	3.6866455078125	0.125
2	61	3.8160345554351807	0.125
2	71	3.774585008621216	0.125
2	81	3.880885362625122	0.041666666666666664
2	91	3.9019699096679688	0.08333333333333333
2	101	3.6495401859283447	0.041666666666666664
2	111	3.6306257247924805	0.16666666666666666
2	121	3.732389450073242	0.125
2	131	3.8165054321289062	0.08333333333333333
2	141	3.8848202228546143	0.08333333333333333
2	151	3.5223419666290283	0.125
2	161	3.7410991191864014	0.041666666666666664
2	171	3.6366310119628906	0.041666666666666664
2	181	3.600994110107422	0.125
2	191	3.826369047164917	0.08333333333333333
2	201	3.730480432510376	0.08333333333333333
2	211	3.8023622035980225	0.125
3	1	3.5697743892669678	0.125
3	11	3.719249963760376	0.125
3	21	3.7413318157196045	0.125
3	31	4.037957668304443	0.041666666666666664
3	41	3.4539833068847656	0.125
3	51	3.686497926712036	0.08333333333333333
3	61	3.4357805252075195	0.08333333333333333
3	71	3.678677797317505	0.20833333333333334
3	81	3.489049196243286	0.16666666666666666
3	91	3.4089066982269287	0.125
3	101	3.50453782081604	0.041666666666666664
3	111	3.4529926776885986	0.125
3	121	3.743612289428711	0.041666666666666664
3	131	3.61418080329895	0.08333333333333333
3	141	4.024176120758057	0.041666666666666664
3	151	3.377063512802124	0.20833333333333334
3	161	3.7136573791503906	0.0
3	171	3.8927059173583984	0.125
3	181	3.5945138931274414	0.041666666666666664
3	191	3.194976568222046	0.125
3	201	3.5218989849090576	0.0
3	211	3.261707305908203	0.16666666666666666
4	1	2.908414840698242	0.20833333333333334
4	11	3.4614036083221436	0.125
4	21	3.5319554805755615	0.08333333333333333
4	31	3.4475648403167725	0.16666666666666666
4	41	3.6004512310028076	0.20833333333333334
4	51	3.687666893005371	0.08333333333333333
4	61	3.149019479751587	0.20833333333333334
4	71	3.3934097290039062	0.16666666666666666
4	81	3.425961494445801	0.041666666666666664
4	91	3.1734025478363037	0.08333333333333333
4	101	3.7181663513183594	0.16666666666666666
4	111	3.647719621658325	0.041666666666666664
4	121	3.2211062908172607	0.20833333333333334
4	131	3.2950570583343506	0.16666666666666666
4	141	3.4549996852874756	0.25
4	151	3.4269697666168213	0.08333333333333333
4	161	3.267094373703003	0.125
4	171	3.3134005069732666	0.25
4	181	3.30558705329895	0.125
4	191	3.152141571044922	0.16666666666666666
4	201	3.7160720825195312	0.08333333333333333
4	211	3.1029884815216064	0.20833333333333334
5	1	3.385411262512207	0.08333333333333333
5	11	3.678877592086792	0.08333333333333333
5	21	3.2681541442871094	0.125
5	31	3.70650315284729	0.125
5	41	3.1493351459503174	0.20833333333333334
5	51	3.110841751098633	0.125
5	61	3.3952620029449463	0.041666666666666664
5	71	3.2893006801605225	0.16666666666666666
5	81	3.35131573677063	0.125
5	91	3.323383092880249	0.20833333333333334
5	101	3.869476318359375	0.0
5	111	3.4170849323272705	0.16666666666666666
5	121	3.2505531311035156	0.125
5	131	3.572256326675415	0.16666666666666666
5	141	2.8311452865600586	0.2916666666666667
5	151	3.215571641921997	0.25
5	161	3.429535150527954	0.16666666666666666
5	171	4.070031642913818	0.08333333333333333
5	181	3.2040092945098877	0.20833333333333334
5	191	3.736639976501465	0.16666666666666666
5	201	3.7385599613189697	0.041666666666666664
5	211	3.0298259258270264	0.125
6	1	3.6618010997772217	0.08333333333333333
6	11	3.3295252323150635	0.125
6	21	3.009110689163208	0.2916666666666667
6	31	2.9959352016448975	0.2916666666666667
6	41	3.0990355014801025	0.08333333333333333
6	51	3.1729209423065186	0.16666666666666666
6	61	3.2904160022735596	0.20833333333333334
6	71	3.5988924503326416	0.16666666666666666
6	81	3.4737985134124756	0.08333333333333333
6	91	3.4774272441864014	0.16666666666666666
6	101	3.3710544109344482	0.08333333333333333
6	111	3.3306150436401367	0.16666666666666666
6	121	3.255422830581665	0.125
6	131	2.939166784286499	0.16666666666666666
6	141	3.145404815673828	0.25
6	151	2.897282600402832	0.16666666666666666
6	161	2.8433868885040283	0.2916666666666667
6	171	3.3177852630615234	0.041666666666666664
6	181	2.9909536838531494	0.16666666666666666
6	191	3.407214879989624	0.16666666666666666
6	201	2.8273308277130127	0.25
6	211	2.9035987854003906	0.20833333333333334
7	1	3.603304624557495	0.08333333333333333
7	11	3.0148420333862305	0.20833333333333334
7	21	3.5124151706695557	0.08333333333333333
7	31	2.7791459560394287	0.25
7	41	3.3382794857025146	0.16666666666666666
7	51	3.605677843093872	0.125
7	61	3.381803512573242	0.25
7	71	2.8463480472564697	0.125
7	81	3.2090816497802734	0.08333333333333333
7	91	2.7757761478424072	0.20833333333333334
7	101	2.7458534240722656	0.20833333333333334
7	111	3.469312906265259	0.125
7	121	3.2019894123077393	0.2916666666666667
7	131	3.459567070007324	0.20833333333333334
7	141	2.543480157852173	0.4583333333333333
7	151	2.7528648376464844	0.20833333333333334
7	161	2.8025996685028076	0.16666666666666666
7	171	3.121995210647583	0.20833333333333334
7	181	3.0658557415008545	0.08333333333333333
7	191	2.723048210144043	0.2916666666666667
7	201	2.819119691848755	0.25
7	211	3.256837844848633	0.125
8	1	2.9826366901397705	0.08333333333333333
8	11	2.8238284587860107	0.2916666666666667
8	21	2.7933528423309326	0.2916666666666667
8	31	2.5794174671173096	0.3333333333333333
8	41	3.0650508403778076	0.2916666666666667
8	51	3.114586591720581	0.125
8	61	3.137247085571289	0.25
8	71	3.227872133255005	0.3333333333333333
8	81	3.1038825511932373	0.20833333333333334
8	91	3.1212799549102783	0.16666666666666666
8	101	2.802091598510742	0.08333333333333333
8	111	3.1113383769989014	0.16666666666666666
8	121	2.566378116607666	0.25
8	131	3.1185779571533203	0.08333333333333333
8	141	2.888471841812134	0.25
8	151	2.7854135036468506	0.375
8	161	2.5319583415985107	0.2916666666666667
8	171	2.4128074645996094	0.3333333333333333
8	181	2.7615320682525635	0.25
8	191	2.6415770053863525	0.375
8	201	2.305724859237671	0.375
8	211	2.506150722503662	0.4166666666666667
9	1	3.227693557739258	0.25
9	11	3.3814916610717773	0.08333333333333333
9	21	3.240682601928711	0.08333333333333333
9	31	3.038755416870117	0.20833333333333334
9	41	2.921330451965332	0.20833333333333334
9	51	2.629523754119873	0.25
9	61	2.937262535095215	0.25
9	71	3.0067780017852783	0.08333333333333333
9	81	2.7856147289276123	0.125
9	91	2.702545404434204	0.2916666666666667
9	101	3.281125068664551	0.16666666666666666
9	111	3.2956039905548096	0.2916666666666667
9	121	2.5777266025543213	0.2916666666666667
9	131	2.828479528427124	0.3333333333333333
9	141	2.7674806118011475	0.25
9	151	2.545217752456665	0.25
9	161	2.732714891433716	0.16666666666666666
9	171	2.595593214035034	0.2916666666666667
9	181	2.6089231967926025	0.3333333333333333
9	191	3.062871217727661	0.16666666666666666
9	201	2.8186371326446533	0.3333333333333333
9	211	2.843982458114624	0.3333333333333333
10	1	2.591315507888794	0.25
10	11	3.2296998500823975	0.125
10	21	3.5905158519744873	0.20833333333333334
10	31	2.640242099761963	0.3333333333333333
10	41	2.380648136138916	0.5
10	51	2.552730083465576	0.5
10	61	2.919520139694214	0.20833333333333334
10	71	2.980036735534668	0.3333333333333333
10	81	2.1706387996673584	0.4583333333333333
10	91	2.877680778503418	0.25
10	101	2.7191970348358154	0.20833333333333334
10	111	2.7030160427093506	0.25
10	121	2.744736909866333	0.2916666666666667
10	131	2.5938732624053955	0.20833333333333334
10	141	2.969895601272583	0.16666666666666666
10	151	2.7396347522735596	0.20833333333333334
10	161	2.9644641876220703	0.20833333333333334
10	171	2.86631178855896	0.25
10	181	2.8537702560424805	0.3333333333333333
10	191	2.4000680446624756	0.375
10	201	2.5105233192443848	0.375
10	211	2.446057081222534	0.3333333333333333
11	1	2.232936143875122	0.4166666666666667
11	11	2.6269500255584717	0.125
11	21	2.418951988220215	0.3333333333333333
11	31	3.75394344329834	0.20833333333333334
11	41	4.17340612411499	0.125
11	51	2.579008102416992	0.25
11	61	2.5219242572784424	0.375
11	71	3.033334493637085	0.3333333333333333
11	81	2.035468101501465	0.625
11	91	2.691335439682007	0.3333333333333333
11	101	2.122028112411499	0.4583333333333333
11	111	2.5881102085113525	0.375
11	121	2.776028633117676	0.16666666666666666
11	131	2.6306960582733154	0.2916666666666667
11	141	2.2628657817840576	0.2916666666666667
11	151	2.483964681625366	0.4583333333333333
11	161	2.281318187713623	0.4166666666666667
11	171	2.5504260063171387	0.375
11	181	2.4331753253936768	0.3333333333333333
11	191	2.0002379417419434	0.4583333333333333
11	201	2.596359968185425	0.16666666666666666
11	211	3.09932017326355	0.20833333333333334
12	1	2.5044071674346924	0.2916666666666667
12	11	2.5507736206054688	0.3333333333333333
12	21	2.047297954559326	0.375
12	31	3.029991388320923	0.25
12	41	2.148176908493042	0.3333333333333333
12	51	2.2397830486297607	0.3333333333333333
12	61	2.2706425189971924	0.375
